paper_id,title,author,venue_name,publish_date,year,url,code,code_confidence,abstract,doi,arxiv_id,source,sources,citations,tags,relevance_score,ranking_score,crawl_timestamp
2601.21929v2,LoRIF: Low-Rank Influence Functions for Scalable Training Data Attribution,"Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann",arXiv,2026-01-29,2026,http://arxiv.org/abs/2601.21929v2,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Training data attribution (TDA) identifies which training examples most influenced a model's prediction. Influence function methods are a theoretically grounded family of TDA methods and exploit gradients. To overcome the scalability challenge arising from gradient computation, the most popular strategy is random projection (e.g., TRAK, LoGRA). However, this still faces two bottlenecks when scaling to large training sets and high-quality attribution: \emph{(i)} storing and loading projected per-example gradients for all $N$ training examples, where query latency is dominated by I/O; and \emph{(ii)} forming the $D \times D$ inverse Hessian approximation, which costs $O(D^2)$ memory. Both bottlenecks scale with the projection dimension $D$, yet increasing $D$ is necessary for attribution quality -- creating a quality--scalability tradeoff. We introduce \textbf{LoRIF} (\textbf{Lo}w-\textbf{R}ank \textbf{I}nfluence \textbf{F}unctions), which exploits low-rank structures of gradient to address both bottlenecks. First, we store rank-$c$ factors of projected per-example gradients rather than full matrices, reducing storage and query-time I/O from $O(D)$ to $O(c\sqrt{D})$ per layer per sample. Second, we use truncated SVD with the Woodbury identity to approximate the inverse Hessian term in an $r$-dimensional subspace, reducing memory from $O(D^2)$ to $O(Dr)$. On models from 0.1B to 70B parameters trained on datasets with millions of examples, LoRIF achieves up to 20$\times$ storage reduction and query-time speedup compared to LoGRA, while matching or exceeding its attribution quality. LoRIF makes gradient-based TDA practical at frontier scale.",,2601.21929v2,arxiv,arxiv,,"influence_functions, training_data_attribution, trak",31,87.50,2026-05-31T20:19:34+00:00
10.48550/arxiv.2601.21929,LoRIF: Low-Rank Influence Functions for Scalable Training Data Attribution,"Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann",Open MIND,2026-01-29,2026,https://doi.org/10.48550/arxiv.2601.21929,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Training data attribution (TDA) identifies which training examples most influenced a model's prediction. Influence function methods are a theoretically grounded family of TDA methods and exploit gradients. To overcome the scalability challenge arising from gradient computation, the most popular strategy is random projection (e.g., TRAK, LoGRA). However, this still faces two bottlenecks when scaling to large training sets and high-quality attribution: \emph{(i)} storing and loading projected per-example gradients for all $N$ training examples, where query latency is dominated by I/O; and \emph{(ii)} forming the $D \times D$ inverse Hessian approximation, which costs $O(D^2)$ memory. Both bottlenecks scale with the projection dimension $D$, yet increasing $D$ is necessary for attribution quality -- creating a quality--scalability tradeoff. We introduce \textbf{LoRIF} (\textbf{Lo}w-\textbf{R}ank \textbf{I}nfluence \textbf{F}unctions), which exploits low-rank structures of gradient to address both bottlenecks. First, we store rank-$c$ factors of projected per-example gradients rather than full matrices, reducing storage and query-time I/O from $O(D)$ to $O(c\sqrt{D})$ per layer per sample. Second, we use truncated SVD with the Woodbury identity to approximate the inverse Hessian term in an $r$-dimensional subspace, reducing memory from $O(D^2)$ to $O(Dr)$. On models from 0.1B to 70B parameters trained on datasets with millions of examples, LoRIF achieves up to 20$\times$ storage reduction and query-time speedup compared to LoGRA, while matching or exceeding its attribution quality. LoRIF makes gradient-based TDA practical at frontier scale.",10.48550/arxiv.2601.21929,2601.21929,openalex,"openalex, dblp, semantic_scholar",,"influence_functions, training_data_attribution, trak",30,86.21,2026-05-31T20:19:34+00:00
54dfbdd48d386b68,LoRIF: Low-Rank Influence Functions for Scalable Training Data Attribution,"Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann",ArXiv.org,2026-01-29,2026,https://arxiv.org/abs/2601.21929,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Training data attribution (TDA) identifies which training examples most influenced a model's prediction. Influence function methods are a theoretically grounded family of TDA methods and exploit gradients. To overcome the scalability challenge arising from gradient computation, the most popular strategy is random projection (e.g., TRAK, LoGRA). However, this still faces two bottlenecks when scaling to large training sets and high-quality attribution: \emph{(i)} storing and loading projected per-example gradients for all $N$ training examples, where query latency is dominated by I/O; and \emph{(ii)} forming the $D \times D$ inverse Hessian approximation, which costs $O(D^2)$ memory. Both bottlenecks scale with the projection dimension $D$, yet increasing $D$ is necessary for attribution quality -- creating a quality--scalability tradeoff. We introduce \textbf{LoRIF} (\textbf{Lo}w-\textbf{R}ank \textbf{I}nfluence \textbf{F}unctions), which exploits low-rank structures of gradient to address both bottlenecks. First, we store rank-$c$ factors of projected per-example gradients rather than full matrices, reducing storage and query-time I/O from $O(D)$ to $O(c\sqrt{D})$ per layer per sample. Second, we use truncated SVD with the Woodbury identity to approximate the inverse Hessian term in an $r$-dimensional subspace, reducing memory from $O(D^2)$ to $O(Dr)$. On models from 0.1B to 70B parameters trained on datasets with millions of examples, LoRIF achieves up to 20$\times$ storage reduction and query-time speedup compared to LoGRA, while matching or exceeding its attribution quality. LoRIF makes gradient-based TDA practical at frontier scale.",,,openalex,openalex,,"influence_functions, training_data_attribution, trak",31,85.50,2026-05-31T20:19:34+00:00
2506.12965v3,Distributional Training Data Attribution: What do Influence Functions Sample?,"Bruno Mlodozeniec, Isaac Reid, Sam Power, David Krueger, Murat Erdogdu, Richard E. Turner, Roger Grosse",arXiv,2025-06-15,2025,http://arxiv.org/abs/2506.12965v3,https://github.com/SJTU-DMTai/awesome-ml-data-quality-papers,high,"Randomness is an unavoidable part of training deep learning models, yet something that traditional training data attribution algorithms fail to rigorously account for. They ignore the fact that, due to stochasticity in the initialisation and batching, training on the same dataset can yield different models. In this paper, we address this shortcoming through introducing distributional training data attribution (d-TDA), the goal of which is to predict how the distribution of model outputs (over training runs) depends upon the dataset. Intriguingly, we find that influence functions (IFs), a popular data attribution tool, are 'secretly distributional': they emerge from our framework as the limit to unrolled differentiation, without requiring restrictive convexity assumptions. This provides a new perspective on the effectiveness of IFs in deep learning. We demonstrate the practical utility of d-TDA in experiments, including improving data pruning for vision transformers and identifying influential examples with diffusion models.",,2506.12965v3,arxiv,arxiv,,"influence_functions, training_data_attribution",28,82.38,2026-05-31T20:19:34+00:00
2405.12186v2,Training Data Attribution via Approximate Unrolled Differentiation,"Juhan Bae, Wu Lin, Jonathan Lorraine, Roger Grosse",arXiv,2024-05-20,2024,http://arxiv.org/abs/2405.12186v2,https://github.com/emphasis10/AI-paper-digest,high,"Many training data attribution (TDA) methods aim to estimate how a model's behavior would change if one or more data points were removed from the training set. Methods based on implicit differentiation, such as influence functions, can be made computationally efficient, but fail to account for underspecification, the implicit bias of the optimization algorithm, or multi-stage training pipelines. By contrast, methods based on unrolling address these issues but face scalability challenges. In this work, we connect the implicit-differentiation-based and unrolling-based approaches and combine their benefits by introducing Source, an approximate unrolling-based TDA method that is computed using an influence-function-like formula. While being computationally efficient compared to unrolling-based approaches, Source is suitable in cases where implicit-differentiation-based approaches struggle, such as in non-converged models and multi-stage training pipelines. Empirically, Source outperforms existing TDA techniques in counterfactual prediction, especially in settings where implicit-differentiation-based approaches fall short.",,2405.12186v2,arxiv,arxiv,,"influence_functions, training_data_attribution",26,78.55,2026-05-31T20:19:34+00:00
2501.15963v1,Evaluating Data Influence in Meta Learning,"Chenyang Ren, Huanyi Xie, Shu Yang, Meng Ding, Lijie Hu, Di Wang",arXiv,2025-01-27,2025,http://arxiv.org/abs/2501.15963v1,https://github.com/SJTU-DMTai/awesome-ml-data-quality-papers,high,"As one of the most fundamental models, meta learning aims to effectively address few-shot learning challenges. However, it still faces significant issues related to the training data, such as training inefficiencies due to numerous low-contribution tasks in large datasets and substantial noise from incorrect labels. Thus, training data attribution methods are needed for meta learning. However, the dual-layer structure of mata learning complicates the modeling of training data contributions because of the interdependent influence between meta-parameters and task-specific parameters, making existing data influence evaluation tools inapplicable or inaccurate. To address these challenges, based on the influence function, we propose a general data attribution evaluation framework for meta-learning within the bilevel optimization framework. Our approach introduces task influence functions (task-IF) and instance influence functions (instance-IF) to accurately assess the impact of specific tasks and individual data points in closed forms. This framework comprehensively models data contributions across both the inner and outer training processes, capturing the direct effects of data points on meta-parameters as well as their indirect influence through task-specific parameters. We also provide several strategies to enhance computational efficiency and scalability. Experimental results demonstrate the framework's effectiveness in training data evaluation via several downstream tasks.",,2501.15963v1,arxiv,arxiv,,"influence_functions, training_data_attribution",24,77.22,2026-05-31T20:19:34+00:00
2602.14869v1,Concept Influence: Leveraging Interpretability to Improve Performance and Efficiency in Training Data Attribution,"Matthew Kowal, Goncalo Paulo, Louis Jaburi, Tom Tseng, Lev E McKinney, Stefan Heimersheim, Aaron David Tucker, Adam Gleave, Kellin Pelrine",arXiv,2026-02-16,2026,http://arxiv.org/abs/2602.14869v1,https://github.com/eerstar/LLM-Agent-paper-daily,high,"As large language models are increasingly trained and fine-tuned, practitioners need methods to identify which training data drive specific behaviors, particularly unintended ones. Training Data Attribution (TDA) methods address this by estimating datapoint influence. Existing approaches like influence functions are both computationally expensive and attribute based on single test examples, which can bias results toward syntactic rather than semantic similarity. To address these issues of scalability and influence to abstract behavior, we leverage interpretable structures within the model during the attribution. First, we introduce Concept Influence which attribute model behavior to semantic directions (such as linear probes or sparse autoencoder features) rather than individual test examples. Second, we show that simple probe-based attribution methods are first-order approximations of Concept Influence that achieve comparable performance while being over an order-of-magnitude faster. We empirically validate Concept Influence and approximations across emergent misalignment benchmarks and real post-training datasets, and demonstrate they achieve comparable performance to classical influence functions while being substantially more scalable. More broadly, we show that incorporating interpretable structure within traditional TDA pipelines can enable more scalable, explainable, and better control of model behavior through data.",,2602.14869v1,arxiv,arxiv,,"influence_functions, training_data_attribution",23,77.18,2026-05-31T20:19:34+00:00
10.48550/arxiv.2405.12186,Training Data Attribution via Approximate Unrolled Differentiation,"Juhan Bae, Wu Lin, Jonathan Lorraine, Roger Grosse",arXiv (Cornell University),2024-05-20,2024,https://doi.org/10.48550/arxiv.2405.12186,https://github.com/emphasis10/AI-paper-digest,high,"Many training data attribution (TDA) methods aim to estimate how a model's behavior would change if one or more data points were removed from the training set. Methods based on implicit differentiation, such as influence functions, can be made computationally efficient, but fail to account for underspecification, the implicit bias of the optimization algorithm, or multi-stage training pipelines. By contrast, methods based on unrolling address these issues but face scalability challenges. In this work, we connect the implicit-differentiation-based and unrolling-based approaches and combine their benefits by introducing Source, an approximate unrolling-based TDA method that is computed using an influence-function-like formula. While being computationally efficient compared to unrolling-based approaches, Source is suitable in cases where implicit-differentiation-based approaches struggle, such as in non-converged models and multi-stage training pipelines. Empirically, Source outperforms existing TDA techniques in counterfactual prediction, especially in settings where implicit-differentiation-based approaches fall short.",10.48550/arxiv.2405.12186,2405.12186,openalex,"openalex, semantic_scholar, dblp",29,"influence_functions, training_data_attribution",26,76.44,2026-05-31T20:19:34+00:00
2507.14740v1,Better Training Data Attribution via Better Inverse Hessian-Vector Products,"Andrew Wang, Elisa Nguyen, Runshi Yang, Juhan Bae, Sheila A. McIlraith, Roger Grosse",arXiv,2025-07-19,2025,http://arxiv.org/abs/2507.14740v1,https://github.com/wanglingxiang0717/LLM_Continual_Learning_Papers,high,"Training data attribution (TDA) provides insights into which training data is responsible for a learned model behavior. Gradient-based TDA methods such as influence functions and unrolled differentiation both involve a computation that resembles an inverse Hessian-vector product (iHVP), which is difficult to approximate efficiently. We introduce an algorithm (ASTRA) which uses the EKFAC-preconditioner on Neumann series iterations to arrive at an accurate iHVP approximation for TDA. ASTRA is easy to tune, requires fewer iterations than Neumann series iterations, and is more accurate than EKFAC-based approximations. Using ASTRA, we show that improving the accuracy of the iHVP approximation can significantly improve TDA performance.",,2507.14740v1,arxiv,arxiv,,"influence_functions, training_data_attribution",23,75.93,2026-05-31T20:19:34+00:00
2505.18513v2,Enhancing Training Data Attribution with Representational Optimization,"Weiwei Sun, Haokun Liu, Nikhil Kandpal, Colin Raffel, Yiming Yang",arXiv,2025-05-24,2025,http://arxiv.org/abs/2505.18513v2,https://github.com/SJTU-DMTai/awesome-ml-data-quality-papers,high,"Training data attribution (TDA) methods aim to measure how training data impacts a model's predictions. While gradient-based attribution methods, such as influence functions, offer theoretical grounding, their computational costs make them impractical for large-scale applications. Representation-based approaches are far more scalable, but typically rely on heuristic embeddings that are not optimized for attribution, limiting their fidelity. To address these challenges, we propose AirRep, a scalable, representation-based approach that closes this gap by learning task-specific and model-aligned representations optimized explicitly for TDA. AirRep introduces two key innovations: a trainable encoder tuned for attribution quality, and an attention-based pooling mechanism that enables accurate estimation of group-wise influence. We train AirRep using a ranking objective over automatically constructed training subsets labeled by their empirical effect on target predictions. Experiments on instruction-tuned LLMs demonstrate that AirRep achieves performance on par with state-of-the-art gradient-based approaches while being nearly two orders of magnitude more efficient at inference time. Further analysis highlights its robustness and generalization across tasks and models. Our code is available at https://github.com/sunnweiwei/AirRep",,2505.18513v2,arxiv,arxiv,,"influence_functions, training_data_attribution",23,75.93,2026-05-31T20:19:34+00:00
10.48550/arxiv.2405.13954,What is Your Data Worth to GPT? LLM-Scale Data Valuation with Influence Functions,"Sang Keun Choe, Hwijeen Ahn, Juhan Bae, Kewen Zhao, Minsoo Kang, Youngseog Chung, Adithya Pratapa, Willie Neiswanger, Emma Strubell, Teruko Mitamura, Jeff Schneider, Eduard Hovy, Roger Grosse, Eric P. Xing",arXiv (Cornell University),2024-05-22,2024,https://doi.org/10.48550/arxiv.2405.13954,https://github.com/logix-project/logix,high,"Large language models (LLMs) are trained on a vast amount of human-written data, but data providers often remain uncredited. In response to this issue, data valuation (or data attribution), which quantifies the contribution or value of each data to the model output, has been discussed as a potential solution. Nevertheless, applying existing data valuation methods to recent LLMs and their vast training datasets has been largely limited by prohibitive compute and memory costs. In this work, we focus on influence functions, a popular gradient-based data valuation method, and significantly improve its scalability with an efficient gradient projection strategy called LoGra that leverages the gradient structure in backpropagation. We then provide a theoretical motivation of gradient projection approaches to influence functions to promote trust in the data valuation process. Lastly, we lower the barrier to implementing data valuation systems by introducing LogIX, a software package that can transform existing training code into data valuation code with minimal effort. In our data valuation experiments, LoGra achieves competitive accuracy against more expensive baselines while showing up to 6,500x improvement in throughput and 5x reduction in GPU memory usage when applied to Llama3-8B-Instruct and the 1B-token dataset.",10.48550/arxiv.2405.13954,2405.13954,openalex,"openalex, semantic_scholar",87,"influence_functions, training_data_attribution, data_valuation",23,75.86,2026-05-31T20:19:34+00:00
10.48550/arxiv.2310.00902,DataInf: Efficiently Estimating Data Influence in LoRA-tuned LLMs and Diffusion Models,"Yongchan Kwon, Eric Hsiao‐Kuang Wu, Kevin Wu, James Zou",arXiv (Cornell University),2023-10-02,2023,https://doi.org/10.48550/arxiv.2310.00902,https://github.com/diff-usion/Awesome-Diffusion-Models,high,"Quantifying the impact of training data points is crucial for understanding the outputs of machine learning models and for improving the transparency of the AI pipeline. The influence function is a principled and popular data attribution method, but its computational cost often makes it challenging to use. This issue becomes more pronounced in the setting of large language models and text-to-image models. In this work, we propose DataInf, an efficient influence approximation method that is practical for large-scale generative AI models. Leveraging an easy-to-compute closed-form expression, DataInf outperforms existing influence computation algorithms in terms of computational and memory efficiency. Our theoretical analysis shows that DataInf is particularly well-suited for parameter-efficient fine-tuning techniques such as LoRA. Through systematic empirical evaluations, we show that DataInf accurately approximates influence scores and is orders of magnitude faster than existing methods. In applications to RoBERTa-large, Llama-2-13B-chat, and stable-diffusion-v1.5 models, DataInf effectively identifies the most influential fine-tuning examples better than other approximate influence scores. Moreover, it can help to identify which data points are mislabeled.",10.48550/arxiv.2310.00902,2310.00902,openalex,"openalex, semantic_scholar, dblp",117,"influence_functions, training_data_attribution, datainf",23,75.51,2026-05-31T20:19:34+00:00
