paper_id,title,author,venue_name,publish_date,year,url,code,code_confidence,abstract,doi,arxiv_id,source,sources,citations,tags,relevance_score,ranking_score,crawl_timestamp
10.48550/arxiv.2311.07784,A Data-Free Approach to Mitigate Catastrophic Forgetting in Federated Class Incremental Learning for Vision Tasks,"Sara Babakniya, Zalan Fabian, Chaoyang He, M. Soltanolkotabi, S. Avestimehr",Neural Information Processing Systems,2023-11-13,2023,https://doi.org/10.48550/arxiv.2311.07784,https://github.com/xialeiliu/Awesome-Incremental-Learning,high,"Deep learning models often suffer from forgetting previously learned information when trained on new data. This problem is exacerbated in federated learning (FL), where the data is distributed and can change independently for each user. Many solutions are proposed to resolve this catastrophic forgetting in a centralized setting. However, they do not apply directly to FL because of its unique complexities, such as privacy concerns and resource limitations. To overcome these challenges, this paper presents a framework for federated class incremental learning that utilizes a generative model to synthesize samples from past distributions. This data can be later exploited alongside the training data to mitigate catastrophic forgetting. To preserve privacy, the generative model is trained on the server using data-free methods at the end of each task without requesting data from clients. Moreover, our solution does not demand the users to store old data or models, which gives them the freedom to join/leave the training at any time. Additionally, we introduce SuperImageNet, a new regrouping of the ImageNet dataset specifically tailored for federated continual learning. We demonstrate significant improvements compared to existing baselines through extensive experiments on multiple datasets.",10.48550/arxiv.2311.07784,2311.07784,semantic_scholar,semantic_scholar,85,"continual_learning, federated_learning, federated_continual_learning",14,93.58,2026-07-02T09:11:23+00:00
2311.07784v2,A Data-Free Approach to Mitigate Catastrophic Forgetting in Federated Class Incremental Learning for Vision Tasks,"Sara Babakniya, Zalan Fabian, Chaoyang He, Mahdi Soltanolkotabi, Salman Avestimehr",arXiv,2023-11-13,2023,http://arxiv.org/abs/2311.07784v2,https://github.com/xialeiliu/Awesome-Incremental-Learning,high,"Deep learning models often suffer from forgetting previously learned information when trained on new data. This problem is exacerbated in federated learning (FL), where the data is distributed and can change independently for each user. Many solutions are proposed to resolve this catastrophic forgetting in a centralized setting. However, they do not apply directly to FL because of its unique complexities, such as privacy concerns and resource limitations. To overcome these challenges, this paper presents a framework for $\textbf{federated class incremental learning}$ that utilizes a generative model to synthesize samples from past distributions. This data can be later exploited alongside the training data to mitigate catastrophic forgetting. To preserve privacy, the generative model is trained on the server using data-free methods at the end of each task without requesting data from clients. Moreover, our solution does not demand the users to store old data or models, which gives them the freedom to join/leave the training at any time. Additionally, we introduce SuperImageNet, a new regrouping of the ImageNet dataset specifically tailored for federated continual learning. We demonstrate significant improvements compared to existing baselines through extensive experiments on multiple datasets.",,2311.07784v2,arxiv,arxiv,,"continual_learning, federated_learning, federated_continual_learning",15,83.75,2026-07-02T09:11:23+00:00
10.1109/cvpr52729.2023.00361,GradMA: A Gradient-Memory-based Accelerated Federated Learning with Alleviated Catastrophic Forgetting,"Kangyang Luo, Xiang Li, Yunshi Lan, Ming Gao",Computer Vision and Pattern Recognition,2023-02-28,2023,https://doi.org/10.1109/cvpr52729.2023.00361,https://github.com/innovation-cat/Awesome-Federated-Machine-Learning,high,"Federated Learning (FL) has emerged as a de facto machine learning area and received rapid increasing research interests from the community. However, catastrophic forgetting caused by data heterogeneity and partial participation poses distinctive challenges for FL, which are detrimental to the performance. To tackle the problems, we propose a new FL approach (namely GradMA), which takes inspiration from continual learning to simultaneously correct the server-side and worker-side update directions as well as take full advantage of server's rich computing and memory resources. Furthermore, we elaborate a memory reduction strategy to enable GradMA to accommodate FL with a large scale of workers. We then analyze convergence of GradMA theoretically under the smooth non-convex setting and show that its convergence rate achieves a linear speed up w.r.t the increasing number of sampled active workers. At last, our extensive experiments on various image classification tasks show that GradMA achieves significant performance gains in accuracy and communication efficiency compared to SOTA baselines. We provide our code here: https://github.com/lkyddd/GradMA.",10.1109/cvpr52729.2023.00361,2302.14307,semantic_scholar,semantic_scholar,66,"continual_learning, federated_learning",10,81.52,2026-07-02T09:11:23+00:00
10.1109/cvpr52734.2025.02853,pFedMxF: Personalized Federated Class-incremental Learning with Mixture of Frequency Aggregation,"Yifei Zhang, Hao Zhu, A. Tan, Dianzhi Yu, Longtao Huang, Han Yu",Computer Vision and Pattern Recognition,2025-06-10,2025,https://doi.org/10.1109/cvpr52734.2025.02853,https://github.com/youngfish42/Awesome-FL,high,"Federated learning (FL) has emerged as a promising paradigm for privacy-preserving collaborative machine learning. However, extending FL to class incremental learning settings introduces three key challenges: 1) spatial heterogeneity due to non-IID data distributions across clients, 2) temporal heterogeneity due to sequential arrival of tasks, and 3) resource heterogeneity due to diverse client capabilities. Existing approaches generally address these challenges in isolation, potentially leading to interference between updates, catastrophic forgetting or excessive communication overhead. In this paper, we propose personalized Federated class-incremental parameter efficient fine-tuning with Mixture of Frequency aggregation (pFedMxF), a novel framework that simultaneously addresses all three heterogeneity challenges through frequency domain decomposition. Our key insight is that assigning orthogonal frequency components to different clients and tasks enables interference-free learning to be achieved with minimal communication costs. We further design an Auto-task Agnostic Classifier that automatically routes samples to task-specific classifiers while adapting to heterogeneous class distributions. We conduct extensive experiments on three benchmark datasets, comparing our approach with eight state-of-the-art methods. The results demonstrate that pFedMxF achieves comparable test accuracy, while requiring less model parameters and incurring significantly lower communication costs than baseline methods.",10.1109/cvpr52734.2025.02853,,semantic_scholar,semantic_scholar,9,"continual_learning, federated_learning",12,78.67,2026-07-02T09:11:23+00:00
2109.04197,A distillation-based approach integrating continual learning and federated learning for pervasive services,"Anastasiia Usmanova, Franccois Portet, P. Lalanda, Germán Vega",arXiv.org,2021-09-09,2021,https://arxiv.org/abs/2109.04197,https://github.com/innovation-cat/Awesome-Federated-Machine-Learning,high,"Federated Learning, a new machine learning paradigm enhancing the use of edge devices, is receiving a lot of attention in the pervasive community to support the development of smart services. Nevertheless, this approach still needs to be adapted to the specificity of the pervasive domain. In particular, issues related to continual learning need to be addressed. In this paper, we present a distillation-based approach dealing with catastrophic forgetting in federated learning scenario. Specifically, Human Activity Recognition tasks are used as a demonstration domain.",,2109.04197,semantic_scholar,semantic_scholar,79,"continual_learning, federated_learning",9,77.34,2026-07-02T09:11:23+00:00
10.48550/arxiv.2307.00497,Don't Memorize; Mimic The Past: Federated Class Incremental Learning Without Episodic Memory,"Sara Babakniya, Zalan Fabian, Chaoyang He, M. Soltanolkotabi, S. Avestimehr",arXiv.org,2023-07-02,2023,https://doi.org/10.48550/arxiv.2307.00497,https://github.com/EnnengYang/Awesome-Forgetting-in-Deep-Learning,high,"Deep learning models are prone to forgetting information learned in the past when trained on new data. This problem becomes even more pronounced in the context of federated learning (FL), where data is decentralized and subject to independent changes for each user. Continual Learning (CL) studies this so-called \textit{catastrophic forgetting} phenomenon primarily in centralized settings, where the learner has direct access to the complete training dataset. However, applying CL techniques to FL is not straightforward due to privacy concerns and resource limitations. This paper presents a framework for federated class incremental learning that utilizes a generative model to synthesize samples from past distributions instead of storing part of past data. Then, clients can leverage the generative model to mitigate catastrophic forgetting locally. The generative model is trained on the server using data-free methods at the end of each task without requesting data from clients. Therefore, it reduces the risk of data leakage as opposed to training it on the client's private data. We demonstrate significant improvements for the CIFAR-100 dataset compared to existing baselines.",10.48550/arxiv.2307.00497,2307.00497,semantic_scholar,semantic_scholar,9,"continual_learning, federated_learning",11,73.51,2026-07-02T09:11:23+00:00
10.1145/3664647.3681384,Overcoming Spatial-Temporal Catastrophic Forgetting for Federated Class-Incremental Learning,"Hao Yu, Xin Yang, Xin Gao, Yihui Feng, Hao Wang, Yan Kang, Tianrui Li",ACM Multimedia,2024-10-28,2024,https://doi.org/10.1145/3664647.3681384,https://github.com/youngfish42/Awesome-FL,high,"This paper delves into federated class-incremental learning (FCiL), where new classes appear continually or even privately to local clients. However, existing FCiL methods suffer from the problem of spatial-temporal catastrophic forgetting, i.e., forgetting the previously learned knowledge over time and the client-specific information owned by different clients. Additionally, private class and knowledge heterogeneity amongst local clients further exacerbate spatial-temporal forgetting, making FCiL challenging to apply. To address these issues, we propose Federated Class-specific Binary Classifier (FedCBC), an innovative approach to transferring and fusing knowledge across both temporal and spatial perspectives. FedCBC consists of two novel components: (1) continual personalization that distills previous knowledge from a global model to multiple local models, and (2) selective knowledge fusion that enhances knowledge integration of the same class from divergent clients and shares private knowledge with other clients. Extensive experiments using three newly-formulated metrics (termed GA, KRS, and KRT) demonstrate the effectiveness of the proposed approach. Our code is now hosted at: https://github.com/SkyOfBeginning/FedCBC.",10.1145/3664647.3681384,,semantic_scholar,semantic_scholar,23,"continual_learning, federated_learning",8,71.67,2026-07-02T09:11:23+00:00
10.1109/cvprw67362.2025.00167,"Forget Less, Learn More: Contrastive-Based Federated Class Incremental Learning with a Low-Dimensional Projection Layer","Ensieh Khazaei, Dimitrios Hatzinakos",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2025-06-11,2025,https://doi.org/10.1109/cvprw67362.2025.00167,https://github.com/EnsiehKhazaei/FCIL-LD,high,"Federated Class Incremental Learning (FCIL) extends Federated Learning (FL) to dynamic environments where clients continually encounter new classes over time, but past data becomes inaccessible. This leads to catastrophic forgetting of previous classes. Therefore, maintaining a balance between learning new classes (plasticity) and retaining past knowledge (stability) is crucial. To address these challenges, we propose a contrastive-based FCIL framework with a low-dimensional projection layer to enhance both stability and plasticity. A low-dimensional projection layer is introduced to improve the generalization capability of the feature extractor and stability-plasticity trade-off. In this regard, we employ supervised contrastive learning in the projection layer during the initial task to strengthen the feature extractor for better adaptation to new classes. Additionally, we train a data-free generator on the server and distribute it to clients to replay synthetic samples from past tasks. To balance stability and plasticity, we design a novel loss function that integrates cross-entropy loss, feature-level knowledge distillation loss, contrastive loss in the projection layer, and classification head refinement. Extensive experiments demonstrate that our framework outperforms state-of-the-art FCIL baselines, achieving higher accuracy and lower forgetting. The code is available at https://github.com/EnsiehKhazaei/FCIL-LD.",10.1109/cvprw67362.2025.00167,,semantic_scholar,semantic_scholar,,"continual_learning, federated_learning",9,70.25,2026-07-02T09:11:23+00:00
10.1145/3637528.3671879,BadSampler: Harnessing the Power of Catastrophic Forgetting to Poison Byzantine-robust Federated Learning,"Yi Liu, Cong Wang, Xingliang Yuan",Knowledge Discovery and Data Mining,2024-06-18,2024,https://doi.org/10.1145/3637528.3671879,https://github.com/youngfish42/Awesome-FL,high,"Federated Learning (FL) is susceptible to poisoning attacks, wherein compromised clients manipulate the global model by modifying local datasets or sending manipulated model updates. Experienced defenders can readily detect and mitigate the poisoning effects of malicious behaviors using Byzantine-robust aggregation rules. However, the exploration of poisoning attacks in scenarios where such behaviors are absent remains largely unexplored for Byzantine-robust FL. This paper addresses the challenging problem of poisoning Byzantine-robust FL by introducing catastrophic forgetting. To fill this gap, we first formally define generalization error and establish its connection to catastrophic forgetting, paving the way for the development of a clean-label data poisoning attack named BadSampler. This attack leverages only clean-label data (i.e., without poisoned data) to poison Byzantine-robust FL and requires the adversary to selectively sample training data with high loss to feed model training and maximize the model's generalization error. We formulate the attack as an optimization problem and present two elegant adversarial sampling strategies, Top-k sampling, and meta-sampling, to approximately solve it. Additionally, our formal error upper bound and time complexity analysis demonstrate that our design can preserve attack utility with high efficiency. Extensive evaluations on two real-world datasets illustrate the effectiveness and performance of our proposed attacks.",10.1145/3637528.3671879,2406.12222,semantic_scholar,semantic_scholar,9,federated_learning,9,69.42,2026-07-02T09:11:23+00:00
10.48550/arxiv.2601.06742,Federated Continual Learning for Privacy-Preserving Hospital Imaging Classification,"Anay Sinhal, Arpana Sinhal, Amit Sinhal",arXiv.org,2026-01-11,2026,https://doi.org/10.48550/arxiv.2601.06742,https://github.com/lucaznguyen/Awesome-Federated-Continual-Learning,high,"Deep learning models for radiology interpretation increasingly rely on multi-institutional data, yet privacy regulations and distribution shift across hospitals limit central data pooling. Federated learning (FL) allows hospitals to collaboratively train models without sharing raw images, but current FL algorithms typically assume a static data distribution. In practice, hospitals experience continual evolution in case mix, annotation protocols, and imaging devices, which leads to catastrophic forgetting when models are updated sequentially. Federated continual learning (FCL) aims to reconcile these challenges but existing methods either ignore the stringent privacy constraints of healthcare or rely on replay buffers and public surrogate datasets that are difficult to justify in clinical settings. We study FCL for chest radiography classification in a setting where hospitals are clients that receive temporally evolving streams of cases and labels. We introduce DP-FedEPC (Differentially Private Federated Elastic Prototype Consolidation), a method that combines elastic weight consolidation (EWC), prototype-based rehearsal, and client-side differential privacy within a standard FedAvg framework. EWC constrains updates along parameters deemed important for previous tasks, while a memory of latent prototypes preserves class structure without storing raw images. Differentially private stochastic gradient descent (DP-SGD) at each client adds calibrated Gaussian noise to clipped gradients, providing formal privacy guarantees for individual radiographs.",10.48550/arxiv.2601.06742,2601.06742,semantic_scholar,semantic_scholar,,"continual_learning, federated_learning, federated_continual_learning, rehearsal",8,68.83,2026-07-02T09:11:23+00:00
