paper_id,title,author,venue_name,publish_date,year,url,code,code_confidence,abstract,doi,arxiv_id,source,sources,citations,tags,relevance_score,ranking_score,crawl_timestamp
10.48550/arxiv.2502.00494,Data Overvaluation Attack and Truthful Data Valuation in Federated Learning,"Shuyuan Zheng, Cai, Sudong, Chuan Xiao, Yang Cao, Qin, Jianbin, Masatoshi Yoshikawa, Makoto Onizuka",ArXiv.org,2025-02-01,2025,https://doi.org/10.48550/arxiv.2502.00494,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"In collaborative machine learning (CML), data valuation, i.e., evaluating the contribution of each client's data to the machine learning model, has become a critical task for incentivizing and selecting positive data contributions. However, existing studies often assume that clients engage in data valuation truthfully, overlooking the practical motivation for clients to exaggerate their contributions. To unlock this threat, this paper introduces the data overvaluation attack, enabling strategic clients to have their data significantly overvalued in federated learning, a widely adopted paradigm for decentralized CML. Furthermore, we propose a Bayesian truthful data valuation metric, named Truth-Shapley. Truth-Shapley is the unique metric that guarantees some promising axioms for data valuation while ensuring that clients' optimal strategy is to perform truthful data valuation under certain conditions. Our experiments demonstrate the vulnerability of existing data valuation metrics to the proposed attack and validate the robustness and effectiveness of Truth-Shapley.",10.48550/arxiv.2502.00494,2502.00494,openalex,"openalex, semantic_scholar",,"data_valuation, federated_learning",18,86.25,2026-05-31T20:36:59+00:00
10.48550/arxiv.2501.15963,Evaluating Data Influence in Meta Learning,"Ren, Chenyang, Xie, Huanyi, Shuhua Yang, Meng Ding, Li Hu, Lei Wang",ArXiv.org,2025-01-27,2025,https://doi.org/10.48550/arxiv.2501.15963,https://github.com/SJTU-DMTai/awesome-ml-data-quality-papers,high,"As one of the most fundamental models, meta learning aims to effectively address few-shot learning challenges. However, it still faces significant issues related to the training data, such as training inefficiencies due to numerous low-contribution tasks in large datasets and substantial noise from incorrect labels. Thus, training data attribution methods are needed for meta learning. However, the dual-layer structure of mata learning complicates the modeling of training data contributions because of the interdependent influence between meta-parameters and task-specific parameters, making existing data influence evaluation tools inapplicable or inaccurate. To address these challenges, based on the influence function, we propose a general data attribution evaluation framework for meta-learning within the bilevel optimization framework. Our approach introduces task influence functions (task-IF) and instance influence functions (instance-IF) to accurately assess the impact of specific tasks and individual data points in closed forms. This framework comprehensively models data contributions across both the inner and outer training processes, capturing the direct effects of data points on meta-parameters as well as their indirect influence through task-specific parameters. We also provide several strategies to enhance computational efficiency and scalability. Experimental results demonstrate the framework's effectiveness in training data evaluation via several downstream tasks.",10.48550/arxiv.2501.15963,,openalex,openalex,,"influence_functions, training_data_attribution",18,86.25,2026-05-31T20:36:59+00:00
10.48550/arxiv.2504.16668,Efficient Data Valuation Approximation in Federated Learning: A Sampling-based Approach,"Shuyue Wei, Yongxin Tong, Zimu Zhou, Tianhua He, Yi Xu",ArXiv.org,2025-04-23,2025,https://doi.org/10.48550/arxiv.2504.16668,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Federated learning paradigm to utilize datasets across multiple data providers. In FL, cross-silo data providers often hesitate to share their high-quality dataset unless their data value can be fairly assessed. Shapley value (SV) has been advocated as the standard metric for data valuation in FL due to its desirable properties. However, the computational overhead of SV is prohibitive in practice, as it inherently requires training and evaluating an FL model across an exponential number of dataset combinations. Furthermore, existing solutions fail to achieve high accuracy and efficiency, making practical use of SV still out of reach, because they ignore choosing suitable computation scheme for approximation framework and overlook the property of utility function in FL. We first propose a unified stratified-sampling framework for two widely-used schemes. Then, we analyze and choose the more promising scheme under the FL linear regression assumption. After that, we identify a phenomenon termed key combinations, where only limited dataset combinations have a high-impact on final data value. Building on these insights, we propose a practical approximation algorithm, IPSS, which strategically selects high-impact dataset combinations rather than evaluating all possible combinations, thus substantially reducing time cost with minor approximation error. Furthermore, we conduct extensive evaluations on the FL benchmark datasets to demonstrate that our proposed algorithm outperforms a series of representative baselines in terms of efficiency and effectiveness.",10.48550/arxiv.2504.16668,,openalex,"openalex, dblp",,"data_valuation, data_shapley, federated_learning",18,86.25,2026-05-31T20:36:59+00:00
10.14778/3748191.3748215,"PS-MI: Accurate, Efficient, and Private Data Valuation in Vertical Federated Learning","Xiaokai Zhou, Xiao Yan, Fangcheng Fu, Zongwen Fu, Tieyun Qian, Yuanyuan Zhu, Q. Zhang, Bin Cui, Jiawei Jiang",Proceedings of the VLDB Endowment,2025-06-01,2025,https://doi.org/10.14778/3748191.3748215,https://github.com/ZhouXiaokay/VF-SV,high,"Vertical federated learning (VFL) trains models when multiple databases (a.k.a participants) hold different features of the same set of samples. By quantifying each participant's contribution to model training, data valuation can prevent hitch-riders and reward the instrumental parties. However, vertical federated data valuation (VFDV) is challenging because it needs to be accurate and efficient while protecting participant data privacy. In this paper, we propose a method meeting all three requirements by using projection and sampling for mutual information estimation (thus dubbed PS-MI). In particular, we first show that the utility of a participant set (a.k.a a coalition ) can be expressed as the mutual information (MI) between their features and the target labels. MI is favorable because it does not depend on the model to train (i.e., model-agnostic ) and can be estimated via k -nearest neighbor (KNN). To run KNN, instead of using costly homomorphic encryption to protect data privacy, we apply simple random projection to participant features before distance computation. We prove that random projection ensures differential privacy and preserves unbiased distance estimates. Since the contribution of a participant involves many coalitions, we adopt stratified sampling to reduce the number of coalitions while controlling estimation variance. To further improve efficiency, we incorporate optimizations including using locality sensitive hashing (LSH) to prune kNN candidates, batching kNN candidate checking for multiple coalitions, and adaptive early termination for utility evaluation. We compare PS-MI with 5 state-of-the-art VFDV methods. The results show that PS-MI yields higher accuracy and shorter running time than the baselines, and the maximum speedup can be 592×.",10.14778/3748191.3748215,,openalex,"openalex, dblp",,"data_valuation, federated_learning",18,86.25,2026-05-31T20:36:59+00:00
2502.00494v3,Data Overvaluation Attack and Truthful Data Valuation in Federated Learning,"Shuyuan Zheng, Sudong Cai, Chuan Xiao, Yang Cao, Jianbin Qin, Masatoshi Yoshikawa, Makoto Onizuka",arXiv,2025-02-01,2025,http://arxiv.org/abs/2502.00494v3,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"In collaborative machine learning (CML), data valuation, i.e., evaluating the contribution of each client's data to the machine learning model, has become a critical task for incentivizing and selecting positive data contributions. However, existing studies often assume that clients engage in data valuation truthfully, overlooking the practical motivation for clients to exaggerate their contributions. To unlock this threat, this paper introduces the data overvaluation attack, enabling strategic clients to have their data significantly overvalued in federated learning, a widely adopted paradigm for decentralized CML. Furthermore, we propose a Bayesian truthful data valuation metric, named Truth-Shapley. Truth-Shapley is the unique metric that guarantees some promising axioms for data valuation while ensuring that clients' optimal strategy is to perform truthful data valuation under certain conditions. Our experiments demonstrate the vulnerability of existing data valuation metrics to the proposed attack and validate the robustness and effectiveness of Truth-Shapley.",,2502.00494v3,arxiv,arxiv,,"data_valuation, federated_learning",18,86.25,2026-05-31T20:36:59+00:00
2504.16668v1,Efficient Data Valuation Approximation in Federated Learning: A Sampling-based Approach,"Shuyue Wei, Yongxin Tong, Zimu Zhou, Tianran He, Yi Xu",arXiv,2025-04-23,2025,http://arxiv.org/abs/2504.16668v1,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Federated learning paradigm to utilize datasets across multiple data providers. In FL, cross-silo data providers often hesitate to share their high-quality dataset unless their data value can be fairly assessed. Shapley value (SV) has been advocated as the standard metric for data valuation in FL due to its desirable properties. However, the computational overhead of SV is prohibitive in practice, as it inherently requires training and evaluating an FL model across an exponential number of dataset combinations. Furthermore, existing solutions fail to achieve high accuracy and efficiency, making practical use of SV still out of reach, because they ignore choosing suitable computation scheme for approximation framework and overlook the property of utility function in FL. We first propose a unified stratified-sampling framework for two widely-used schemes. Then, we analyze and choose the more promising scheme under the FL linear regression assumption. After that, we identify a phenomenon termed key combinations, where only limited dataset combinations have a high-impact on final data value. Building on these insights, we propose a practical approximation algorithm, IPSS, which strategically selects high-impact dataset combinations rather than evaluating all possible combinations, thus substantially reducing time cost with minor approximation error. Furthermore, we conduct extensive evaluations on the FL benchmark datasets to demonstrate that our proposed algorithm outperforms a series of representative baselines in terms of efficiency and effectiveness.",,2504.16668v1,arxiv,arxiv,,"data_valuation, data_shapley, federated_learning",18,86.25,2026-05-31T20:36:59+00:00
10.25300/misq/2025/19161,Data Valuation for Vertical Federated Learning: A Model-Free and Privacy-Preserving Method,"Han Xiao, Leye Wang, Junjie Wu, Xiao Fang",MIS Quarterly,2025-09-18,2025,https://doi.org/10.25300/misq/2025/19161,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Vertical federated learning (VFL) is a promising paradigm for predictive analytics, empowering an organization (i.e., task party) to enhance its predictive models through collaborations with multiple data suppliers (i.e., data parties) in a decentralized and privacy-preserving way. Despite the fast-growing interest in VFL, the lack of effective and secure tools for assessing the value of data owned by data parties hinders the application of VFL in business contexts. In response, we propose FedValue, a privacy-preserving, task-specific but model-free data valuation method for VFL, which consists of a data valuation metric and a federated computation method. Specifically, we first introduce a novel data valuation metric, namely MShapley-CMI. The metric evaluates a data party’s contribution to a predictive analytics task without the need of executing a machine learning model, making it well-suited for real-world applications of VFL. Next, we develop an innovative federated computation method that calculates the MShapley-CMI value for each data party in a privacy-preserving manner. Extensive experiments conducted on synthetic and realistic datasets validate the efficacy of FedValue for data valuation in the context of VFL. In addition, we illustrate the practical utility of FedValue with case studies involving federated recommendations and financial default prediction.",10.25300/misq/2025/19161,,openalex,"openalex, dblp",,"data_valuation, federated_learning",17,84.03,2026-05-31T20:36:59+00:00
2511.12863v1,Rethinking Data Value: Asymmetric Data Shapley for Structure-Aware Valuation in Data Markets and Machine Learning Pipelines,"Xi Zheng, Yinghui Huang, Xiangyu Chang, Ruoxi Jia, Yong Tan",arXiv,2025-11-17,2025,http://arxiv.org/abs/2511.12863v1,https://github.com/pengyuanli-bjtu/Awesome-Data-Valuation,high,"Rigorous valuation of individual data sources is critical for fair compensation in data markets, informed data acquisition, and transparent development of ML/AI models. Classical Data Shapley (DS) provides a essential axiomatic framework for data valuation but is constrained by its symmetry axiom that assumes interchangeability of data sources. This assumption fails to capture the directional and temporal dependencies prevalent in modern ML/AI workflows, including the reliance of duplicated or augmented data on original sources and the order-specific contributions in sequential pipelines such as federated learning and multi-stage LLM fine tuning. To address these limitations, we introduce Asymmetric Data Shapley (ADS), a structure-aware data valuation framework for modern ML/AI pipelines. ADS relaxes symmetry by averaging marginal contributions only over permutations consistent with an application-specific ordering of data groups. It preserves efficiency and linearity, maintains within group symmetry and directional precedence across groups, and reduces to DS when the ordering collapses to a single group. We develop two complementary computational procedures for ADS: (i) a Monte Carlo estimator (MC-ADS) with finite-sample accuracy guarantees, and (ii) a k-nearest neighbor surrogate (KNN-ADS) that is exact and efficient for KNN predictors. Across representative settings with directional and temporal dependence, ADS consistently outperforms benchmark methods by distinguishing novel from redundant contributions and respecting the sequential nature of training. These results establish ADS as a principled and practical approach to equitable data valuation in data markets and complex ML/AI pipelines.",,2511.12863v1,arxiv,arxiv,,"data_valuation, data_shapley, federated_learning",17,84.03,2026-05-31T20:36:59+00:00
2209.05424v1,Towards More Efficient Data Valuation in Healthcare Federated Learning using Ensembling,"Sourav Kumar, A. Lakshminarayanan, Ken Chang, Feri Guretno, Ivan Ho Mien, Jayashree Kalpathy-Cramer, Pavitra Krishnaswamy, Praveer Singh",arXiv,2022-09-12,2022,http://arxiv.org/abs/2209.05424v1,https://github.com/daviddao/awesome-data-valuation,high,"Federated Learning (FL) wherein multiple institutions collaboratively train a machine learning model without sharing data is becoming popular. Participating institutions might not contribute equally, some contribute more data, some better quality data or some more diverse data. To fairly rank the contribution of different institutions, Shapley value (SV) has emerged as the method of choice. Exact SV computation is impossibly expensive, especially when there are hundreds of contributors. Existing SV computation techniques use approximations. However, in healthcare where the number of contributing institutions are likely not of a colossal scale, computing exact SVs is still exorbitantly expensive, but not impossible. For such settings, we propose an efficient SV computation technique called SaFE (Shapley Value for Federated Learning using Ensembling). We empirically show that SaFE computes values that are close to exact SVs, and that it performs better than current SV approximations. This is particularly relevant in medical imaging setting where widespread heterogeneity across institutions is rampant and fast accurate data valuation is required to determine the contribution of each participant in multi-institutional collaborative learning.",,2209.05424v1,arxiv,arxiv,,"data_valuation, data_shapley, federated_learning",18,82.50,2026-05-31T20:36:59+00:00
10.1109/icde53745.2022.00228,Improving Fairness for Data Valuation in Horizontal Federated Learning,"Zhenan Fan, Fang Huang, Zirui Zhou, Jian Pei, Michael P. Friedlander, Changxin Liu, Yong Zhang",2022 IEEE 38th International Conference on Data Engineering (ICDE),2022-05-01,2022,https://doi.org/10.1109/icde53745.2022.00228,https://github.com/daviddao/awesome-data-valuation,high,"Federated learning is an emerging decentralized machine learning scheme that allows multiple data owners to work collaboratively while ensuring data privacy. The success of federated learning depends largely on the participation of data owners. To sustain and encourage data owners' participation, it is crucial to fairly evaluate the quality of the data provided by the data owners as well as their contribution to the final model and reward them correspondingly. Federated Shapley value, recently proposed by Wang et al. [Federated Learning, 2020], is a measure for data value under the framework of federated learning that satisfies many desired properties for data valuation. However, there are still factors of potential unfairness in the design of federated Shapley value because two data owners with the same local data may not receive the same evaluation. We propose a new measure called completed federated Shapley value to improve the fairness of federated Shapley value. The design depends on completing a matrix consisting of all the possible contributions by different subsets of the data owners. It is shown under mild conditions that this matrix is approximately low-rank by leveraging concepts and tools from optimization. Both theoretical analysis and empirical evaluation verify that the proposed measure does improve fairness in many circumstances.",10.1109/icde53745.2022.00228,2109.09046v3,openalex,"openalex, arxiv, dblp, semantic_scholar",72,"data_valuation, data_shapley, federated_learning",17,82.18,2026-05-31T20:36:59+00:00
